PC Pair,k,DBI
PC4-PC10,3,0.7772631747832461
PC4-PC10,4,0.7252434008997337
PC4-PC10,5,0.7695212519083456
PC4-PC10,6,0.7211861240176264
PC4-PC10,7,0.8154454820230653
PC4-PC10,8,0.7690005627899534
PC4-PC10,9,0.8537160937585477
PC4-PC10,10,0.7962310005451485
PC5-PC6,3,0.8996648025592844
PC5-PC6,4,0.8217883196521405
PC5-PC6,5,0.823758883363731
PC5-PC6,6,0.7932040122595575
PC5-PC6,7,0.7895033735844219
PC5-PC6,8,0.8348516501096563
PC5-PC6,9,0.8841634775823957
PC5-PC6,10,0.8270579452184632
PC5-PC7,3,1.1660325203515924
PC5-PC7,4,0.9025279915008383
PC5-PC7,5,0.7915660508366171
PC5-PC7,6,0.8485795812850649
PC5-PC7,7,0.8641534503321299
PC5-PC7,8,0.8198615353425179
PC5-PC7,9,0.7619397024357668
PC5-PC7,10,0.7076041775242554
PC5-PC8,3,0.9495523019169859
PC5-PC8,4,0.8997690154894169
PC5-PC8,5,0.8202648605031839
PC5-PC8,6,0.8005116146632435
PC5-PC8,7,0.7732768128949582
PC5-PC8,8,0.8175197837415277
PC5-PC8,9,0.7756298886431705
PC5-PC8,10,0.8144675145816397
PC5-PC9,3,0.9128699655992939
PC5-PC9,4,0.8680380681456008
PC5-PC9,5,0.823871165205377
PC5-PC9,6,0.8461141711419154
PC5-PC9,7,0.8120046135492283
PC5-PC9,8,0.8393733850805507
PC5-PC9,9,0.8252554555388113
PC5-PC9,10,0.8338521603412652
PC5-PC10,3,0.977969779799333
PC5-PC10,4,0.7496185956530279
PC5-PC10,5,0.7828856132246209
PC5-PC10,6,0.6832690101938906
PC5-PC10,7,0.7166076777675541
PC5-PC10,8,0.7267852362149502
PC5-PC10,9,0.7885702774349351
PC5-PC10,10,0.8084581825067545
PC6-PC7,3,0.8693285864013882
PC6-PC7,4,0.8878926969904516
PC6-PC7,5,0.9215794311735636
PC6-PC7,6,0.8884821318415678
PC6-PC7,7,0.8574572218675193
PC6-PC7,8,0.872559445313188
PC6-PC7,9,0.8772878271615143
PC6-PC7,10,0.8668323651141193
PC6-PC8,3,0.8800253177766617
PC6-PC8,4,0.896401930512099
PC6-PC8,5,0.7819956440473448
PC6-PC8,6,0.8267640928730179
PC6-PC8,7,0.7780568424425925
PC6-PC8,8,0.7727933917284517
